species,watering_frequency_days,fertilizing_frequency_days,sunlight_needs
Four O'Clock Plant,8,30,"Full sun, partial shade"
Foxtail Fern,7,30,"bright, indirect light"
Wodyetia bifurcata,7,365,Full to partial sun
Fraser Fir,3,0,Full to partial sunlight
Freesia,7,0,"Full sun, partial shade"
Lavandula dentata,14,365,Full sun
French Marigold,7,30,Full sun
Albuca spiralis,7,30,"Full, Part"
Phyla nodiflora,7,365,Full sun to part shade
Fuchsia,1,7,partial shade
Phlox paniculata,3,365,Full sun to partial sun
Gardenia jasminoides,7,21,partial shade
Allium sativum,7,90,Full sun
Dictamnus albus,7,365,Full sun to partial shade
Gasteria,14,365,partial
Gaura,7,365,full sun
Gazania,7,365,Full sun
Geranium,7,14,Full sun to part shade
Gerbera jamesonii,7,30,Full sun to partial shade
Graptopetalum paraguayense,14,365,"Full, partial"
Ginkgo Biloba Tree,7,365,Full to partial sun
Ginseng Ficus,7,30,"bright, indirect sun"
Glacier Pothos,7,30,partial
Gomphrena spp.,7,30,Full sun
Globe Thistle,7,365,Full sun
Gloriosa superba,7,30,full sun to partial shade
Chionodoxa luciliae,7,365,"Full, partial"
Gloxinia,7,14,bright indirect light
Goat's Beard,3,365,partial
Aucuba japonica,7,30,partial shade
Spiraea japonica 'Gold Mound',7,365,Full sun to partial sun
Golden Alexander,7,365,"Full, partial"
Phyllostachys aurea,7,120,Full sun to partial shade
Phyllostachys aurea,7,30,at least 6 hours of direct sunlight
Golden Barberry,7,730,Full sun to partial shade
Echinocactus grusonii,7,28,Full sun
"Laburnum anagyroides, Laburnumxwatereri",7,365,Full sun to partial shade
Goldenrod,7,365,Full sun
Goldfish Plant,7,7,partial
Lonicera x heckrottii ‘Goldflame’,7,365,"Full, Partial"
Spiraea japonica'Goldflame',7,365,Full sun
Gollum Jade,14,60,Full sun
Gooseberry,7,365,Full sun to partial shade
Grape Hyacinth,7,365,"Full, Partial"
Vitis vinifera,7,365,full sun
Gray Birch,7,365,Partial
Green Giant Arborvitae,7,365,Full sun to partial shade
Grevillea,7,365,full sun to partial shade
Ground Cherry,7,30,Full sun
Hosta 'Halcyon',7,28,partial shade to full shade
Hardy Geranium,7,365,Full to partial sun
Hardy Hibiscus,1,7,Full sun
Hardy Kiwi,10,365,Full sun
Chrysanthemumxmorifolium,7,30,"Full sun, 6-8 hours direct sunlight"
Persea americana 'Hass',7,30,"bright, indirect sunlight"
Hawaiian Pothos,7,14,bright indirect light
Haworthia,7,30,partial
Haworthia cooperi,7,180,bright but indirect light
Crataegus spp.,7,365,Full sun
Corylus avellana,7,365,"full sun, partial sun"
Heartleaf Philodendron,7,30,"bright, indirect light"
Calluna vulgaris,7,365,Full sun to partial shade
Nandina domestica,7,180,Full sun to partial shade
Hebe Shrub,7,365,Full to partial sun
Heirloom Tomato,2,7,Full sun
Helenium,3,365,Full sun
Heliconia,7,14,bright indirect light
Heliconia Rostrata,3,21,"Full, Partial"
Heliotropium,2,14,"full sun, 6 hours direct sunlight"
Helleborus spp.,7,120,partial shade to full sun in winter
Sempervivum tectorum,14,90,Full sun
Hibiscus,1,7,"Full, partial"
Hickory Tree,7,30,full sun to partial shade
Himalayan Birch,7,30,Full sun to partial shade
Hoya compacta,7,60,"bright, indirect light"
Hinoki Cypress,7,365,Full sun
Hollyhock,7,14,"Full sun, partial shade"
Holy Basil,2,0,Full Sun
Honeysuckle,7,365,Full sun to part shade
Bauhinia blakeana,7,120,Full sun to light shade
Hoptree,7,365,partial
Horseradish,7,28,Full sun
Equisetum hyemale,1,365,filtered shade
Hosta,7,365,partial shade
Hoya 'Krimson Queen',7,30,"bright, indirect light"
Hoya Australis,7,30,bright indirect sunlight
Hoya kentiana,7,28,"bright, indirect light"
Hoya Kerrii,14,30,"Full, direct sunlight"
Hoya Obovata,14,15,bright indirect light
Hoya Rosita,14,30,"bright, indirect light"
Hoya Shepherdii,7,30,"bright, indirect light"
Hoya lacunosa x obscura 'Sunrise',11,30,"medium to bright, indirect sunlight"
Hoya Wayetii,7,15,"Bright, indirect light"
Huernia Zebrina,7,30,partial shade
Anisacanthus quadrifidus var. wrightii,30,365,Full sun to partial shade
Hyacinthus orientalis,7,365,Full to partial sunlight
Hybrid Tea Roses,7,120,Full sun
Hydrangea,3,365,partial shade with morning sun and afternoon shade
Hydrangea Serrata,7,30,partial
"Delosperma spp., Lampranthus spp.",14,365,Full sun
Papaver nudicaule,7,14,Full to partial sun
Impatiens walleriana,1,14,partial shade
Acer palmatum var. dissectum 'Inaba Shidare',7,365,partial
Tradescantia zebrina,7,60,"bright, indirect light"
Hydrangea arborescens 'Abetwo',7,365,Full sun to partial shade
Rhaphiolepis indica,7,365,Full sun
Ilex glabra,7,365,"Full, partial"
Irish Moss,3,365,"Full, partial"
Cupressus sempervirens,7,365,Full to partial sun
Itoh Peony,3,120,"Full, partial"
Ivory Halo Dogwood,7,365,partial shade
Syringa reticulata 'Ivory Silk',7,365,full sun
Ivy Geranium,3,14,Full sun
Jacaranda Tree,7,365,Full sun
Arisaema triphyllum,7,30,partial to full shade
Artocarpus heterophyllus,7,180,full sun
Clematisx jackmanii,7,30,partial
Polemonium caeruleum,7,90,partial shade
Crassula ovata,7,7,bright indirect sunlight
Epipremnum aureum'Jade',7,14,"bright, indirect light"
Jalapeño Pepper,2,14,Full sun
Magnolia 'Jane',7,730,Full sun to partial shade
Pieris japonica,7,30,partial
Japanese Anemone,7,365,Full sun
Fatsia japonica,7,30,partial shade
Berberis thunbergii,14,365,Full sun to partial shade
Pinus thunbergii,7,365,Full sun to partial shade
Imperata cylindrica,7,365,full sun
Camellia japonica,7,30,partial shade
Filicium decipiens,3,120,"Full, partial"
Iris ensata,7,30,Full sun to partial shade
Prunus serrulata,7,365,Full sun
Hakonechloa macra,3,365,partial shade
Japanese Holly,7,365,Full sun to partial shade
Lonicera japonica,7,30,full sun to partial shade
Japanese Lilac Tree,7,365,"Full, partial"
Acer palmatum,3,365,partial shade
Acer palmatum,1,14,partial
Styphnolobium japonicum,7,365,Full sun
Athyrium niponicum var. pictum,7,365,partial shade
Pieris japonica,7,60,partial shade to full sun
Kerria japonica,7,365,partial to full shade
Japanese Sedge,7,365,partial shade
Styrax japonicus,7,365,partial sun
Stewartia pseudocamellia,7,365,partial
Jasmine,7,14,"Full sun, partial shade"
Jasminum spp.,7,21,"bright, indirect light"
Jessenia Pothos,7,30,"partial sunlight or bright, indirect light"
Ludisia discolor,7,60,partial
Impatiens capensis,1,90,partial shade
Joe Pye Weed,3,90,Full sun to partial shade
Alternanthera ficoidea,7,60,full sun
Yucca brevifolia,30,365,full sun
Juniper Bonsai,3,7,direct sunlight
Kalanchoe blossfeldiana,21,30,"bright, indirect light or partial shade to full sun"
Kalanchoe Delagoensis,14,30,Full to Partial
Kalanchoe Fedtschenkoi,7,14,"bright, indirect light"
Kalanchoe Pinnata,14,90,bright indirect light
Kalanchoe Thyrsiflora,7,30,"Full, Partial"
Brassica oleracea,7,30,Full sun to partial shade
Kangaroo Paw,7,365,Full sun
Calamagrostis x acutifolia'Karl Foerster',7,365,full sun to partial sun
Cercidiphyllum japonicum,7,365,Full sun to partial shade
Kentia Palm,7,30,"partial, dappled"
Kentucky Bluegrass,1,30,full sun
Kentucky Coffee Tree,7,365,Full sun
Kimberley Queen Fern,3,30,partial shade
Rosa hybrida,7,365,Full sun to partial shade
Pittosporum tenuifolium,7,365,Full sun to partial shade
Abies koreana,7,365,"Full, partial"
Viburnum carlesii,7,365,"Full, partial"
Aloe arborescens,7,30,"Full sun outdoors or bright, indirect light indoors"
Pueraria montanavar.lobata,7,30,full sun
Citrus japonica,7,30,full sun
Lace Aloe,7,30,"bright, indirect light"
Lacecap Hydrangea,7,365,partial
Alchemilla mollis,7,365,partial
Athyrium filix-femina,7,365,partial shade
Rhapis excelsa,7,30,bright indirect light
Lady Slipper Orchid,3,14,"Low, indirect"
Stachys byzantina,7,365,"Full, partial"
Lantana camara,7,365,full sun
Larkspur,7,365,Full sun
Lavatera,7,365,full sun
Lavandula spp.,7,365,Full sun
Santolina chamaecyparissus,14,365,Full sun to part shade
Lavandula spp.,12,30,at least four hours of direct sunlight each day
Melissa officinalis,7,21,"Full sun, partial shade"
Nephrolepis cordifolia 'Duffii',7,90,"medium, indirect light"
Cucumis sativus'Lemon',7,14,Full sun
